x (nm),y (nm),u (V)
-500.00000000000006,-205.0,0.0
-500.00000000000006,-194.86122931582955,-0.0005655487119185826
-500.00000000000006,-184.72245863165907,-0.0009448569788459388
-500.00000000000006,-174.5836879474886,-0.0011667852683501778
-500.00000000000006,-164.4449172633182,-0.001249092578409098
-500.00000000000006,-154.3061465791477,-0.0011979228614796278
-500.00000000000006,-144.16737589497728,-0.0010093710869191442
-500.00000000000006,-134.02860521080675,-0.0006683344617630424
-500.00000000000006,-123.8898345266363,-0.00014704794451102763
-500.00000000000006,-113.75106384246587,0.000597875243708266
-500.00000000000006,-103.6122931582954,0.0016299352943933512
-500.00000000000006,-93.47352247412495,0.00304044090213147
-500.00000000000006,-83.33475178995451,0.004960470900807203
-500.00000000000006,-73.19598110578407,0.007581221176164611
-500.00000000000006,-63.05721042161359,0.011188879313027608
-500.00000000000006,-52.91843973744314,0.016231727869281433
-500.00000000000006,-43.330840546487416,0.02297747955626958
-500.00000000000006,-35.44929280571938,0.030712358294900714
-500.00000000000006,-29.016274172212018,0.0395959312163984
-500.00000000000006,-23.760488655119588,0.0488897786318901
-500.00000000000006,-19.47462954370934,0.058965386328088
-500.00000000000006,-15.968912437808017,0.06974361182562547
-500.00000000000006,-13.114063389240025,0.08107652157911646
-500.00000000000006,-10.7803797314415,0.0930823922350478
-500.00000000000006,-8.86852287867056,0.10588590069557192
-500.00000000000006,-7.311712355270421,0.11950101345773202
-500.00000000000006,-6.050225047857209,0.1340198496114708
-500.00000000000006,-5.0,0.1509546623333687
-500.00000000000006,-4.0602736418416665,0.15050675145633294
-500.00000000000006,-2.9367735717060635,0.1501229976375816
-500.00000000000006,-1.5984821420595567,0.14971039542522735
-500.00000000000006,0.0,0.14922225274830508
-500.00000000000006,2.605573274991883,0.1461164472485823
-500.00000000000006,5.703450304564228,0.1424204917576196
-500.00000000000006,9.443962883023971,0.13796073250923804
-500.00000000000006,14.086814016003302,0.13243583895634514
-500.00000000000006,19.66992512759944,0.12582234014008187
-500.00000000000006,26.20041322431308,0.11814542311296057
-500.00000000000006,33.78358833782437,0.10933629912341103
-500.00000000000006,42.61363418105009,0.09926328004824735
-500.00000000000006,52.42837255631119,0.08835617114271749
-500.00000000000006,62.26648105255711,0.07779167400914941
-500.00000000000006,72.104589548803,0.06765836596657958
-500.00000000000006,81.94269804504897,0.05801581602615649
-500.00000000000006,91.78080654129488,0.048921097249745416
-500.00000000000006,101.61891503754079,0.04042730656833695
-500.00000000000006,111.4570235337867,0.03258505084562842
-500.00000000000006,121.29513203003263,0.025439843011808
-500.00000000000006,131.13324052627854,0.019034647807871632
-500.00000000000006,140.9713490225245,0.01340617154059587
-500.00000000000006,150.8094575187704,0.008587661521200678
-500.00000000000006,160.6475660150163,0.004605936580083884
-500.00000000000006,170.48567451126223,0.0014830515621769226
-500.00000000000006,180.32378300750815,-0.0007654161368971065
-500.00000000000006,190.16189150375408,-0.0021001409455988786
-500.00000000000006,200.0,-0.002588511472988216
-499.18007252991816,-3.9906911625528654,0.1504343754382107
-498.9972814934666,-6.833521391192287,0.12463172121430818
-498.8877262121709,-5.0,0.15064753720073337
-498.69107981548274,-1.5624070707484872,0.14969762227713745
-498.49661987640087,-5.8741670182969505,0.13673318851518135
-498.4601197532616,-8.195053797920373,0.11133393701722422
-498.3126262897525,-4.208076041365819,0.15046922892486464
-498.253856800044,-10.109265603677272,0.0972091126651491
-498.228287994189,-2.9946585913449812,0.1501256364945168
-498.0016789150439,0.0,0.14922387267691062
-497.9862504946022,-6.842869856647389,0.12459035278969244
-497.88642725429855,-14.709426731029895,0.07444393452054797
-497.87212994703617,4.485889981023888,0.14387332470771977
-497.85478646906495,-12.315746398311223,0.08487119479239125
-497.82479427445094,-5.0,0.15068954182215846
-497.32354378784737,-4.039832349133542,0.15042658154171776
-497.3088622478123,-5.966184693616811,0.13533835705743588
-496.88878633358445,2.181476582685321,0.1466252911993349
-496.8371855450095,-3.055723605560129,0.1501485426075204
-496.8370244744996,-7.347235399885891,0.11908668716994728
-496.80137848006717,-5.0,0.15069514224713276
-496.77991983889353,-1.6344193266913878,0.14972481486691805
-496.77696124603887,7.4169998774685455,0.1403734917192543
-496.7664113064172,-9.26492491661057,0.10289387028752837
-496.23333181322585,-4.024292805744057,0.15044066692920352
-496.2136933799359,-6.027248455304847,0.13446900912631785
-496.2034560236211,-17.834220692421173,0.06362663000211151
-495.7541096116869,-22.38071265233187,0.05182087095112197
-495.7385075248753,0.0,0.14923390469486764
-495.7254365099152,-5.0,0.15072765393400872
-495.6824162555754,-8.363347654429713,0.11004883717009357
-495.6175876708772,-11.507227707988678,0.0889825967536451
-495.5318645033344,-28.01920710043859,0.04101010485708506
-495.39701871559805,-7.087317243025878,0.12195886643199091
-495.2709248706396,-14.323875948234761,0.07589799762655514
-495.2515768701465,-2.910299496300662,0.15012888770578955
-495.2478222074487,-4.15141519001609,0.15051079372754123
-495.0999180824708,-5.959516063206006,0.13547603938451122
-494.9370232614324,4.677556231426688,0.14364421170543817
-494.85305476703303,-9.7637569711228,0.0995810348206124
-494.6757576276474,-5.0,0.15082792297725583
-494.5571693877573,-1.5096991810147948,0.14970545439273517
-494.4481115223562,2.191110032502481,0.14661943332397906
-494.42329327444895,-8.248421296456806,0.11096020076314368
-494.1524727307965,-3.9346177197608134,0.1504716993668459
-494.05447007545496,-5.762379814529653,0.13840087128037853
-493.95286779216286,-6.834228634829522,0.12466085233020409
-493.94589565368585,17.539040802537887,0.1283164589236208
-493.6813047158271,0.0,0.1492467347109915
-493.6663692433743,11.610504477093443,0.13536228780214363
-493.51033852537927,-5.0,0.15085221726348294
-493.2026972769507,23.83117537047916,0.120880062029511
-493.2026709554331,-7.88986540097853,0.11422482234114874
-493.1912119920754,-2.8651476213856766,0.15013786951548072
-493.0565791806454,-4.131532341284059,0.15053757394747724
-493.04851041854505,-5.906853370710772,0.13622976031724904
-493.047200532375,7.265715025604648,0.14054582204212765
-493.0284123780864,-9.315560010163985,0.10271967916332705
-492.91792768674645,-11.081859325057389,0.09146644055709749
-492.683157750737,-13.42682087956073,0.07971889830351828
-492.59012043439276,-6.926562458203833,0.12369973412242602
-492.4606596431114,-5.0,0.1507715530587895
-492.395097062069,1.648449806618088,0.1472735679730105
-492.3420889570981,-1.4729094739596802,0.14970927630620867
-492.33662263274283,-16.628259608901413,0.06751811759434222
-492.2906896562264,30.983053125459556,0.11250381087910417
-492.2111852698746,-197.2668585475481,-0.00044646001081367795
-492.0118381067069,-3.9251371895018075,0.1504667667414764
-491.92420304326885,-5.944330288100945,0.13567816700949503
-491.7654995713173,39.197201544816146,0.10303661693465191
-491.7506113643365,-8.288509651514316,0.11065493073563944
-491.72439904952125,-20.488355344017133,0.05634976471855055
-491.47701504975055,0.0,0.14925722000622463
-491.431738653632,-158.97491597161837,-0.0012395603003177748
-491.4152982332502,48.16955339022543,0.09292136879444023
-491.4067110640458,-149.01090104555678,-0.0011185195613014401
-491.40477753470503,4.271161897711175,0.14412756434663815
-491.393183317708,-5.0,0.1507752191282509
-491.3829595370459,-168.9434467606781,-0.0012308788027829342
-491.38199350325635,-138.99059744609,-0.0008566130761593867
-491.36602480683877,-128.9046187811204,-0.0004299400533168652
-491.3546951413247,-118.80044199708782,0.0001962985223962507
-491.34456355968484,-108.67556245686006,0.0010759678461100338
-491.3359959089615,-98.55081467334266,0.0022839984735057986
-491.3312324067531,-39.387873754550476,0.02660444026620582
-491.3245404984085,-88.42281568837709,0.003930014171789039
-491.31133446618077,-78.30079274761323,0.006169554599129631
-491.28084980296103,-68.17806383295625,0.009235608437123472
-491.24580037319157,-58.08756244792183,0.013466203341519729
-491.2175373543165,-9.776232158995759,0.09943237541569211
-491.19411703671267,-48.207588657011286,0.01928409651369908
-491.17228389146766,-2.830960006879678,0.15013669671216204
-491.15163227836194,-7.019222438260853,0.12268457380706363
-491.11129136422454,-178.884173925005,-0.0010915435103420427
-491.0698323463385,186.46747107321002,-0.0021280092835886852
-491.0250691120843,57.49214719326529,0.08270482891489178
-490.982160260495,-4.128688732255255,0.15054208486151807
-490.9592737826444,-25.420162239632457,0.04561810834992214
-490.87715560615464,-31.934194334802342,0.03525204071018818
-490.8146596960778,-5.917677013356405,0.13608141375552765
-490.74952105492906,66.97787418590192,0.07268049353953422
-490.6922867168344,-188.31960282490613,-0.0008299369719090631
-490.57825967963646,76.60016700662882,0.06295209405067739
-490.5750103614618,1.6858693777640417,0.14723045880139457
-490.4712436071272,86.29789198844269,0.053651500264189515
-490.4286152203693,96.07791338939934,0.04483910103996517
-490.3870134140353,105.87031019125617,0.03663467013512905
-490.3802045201604,115.72064382682709,0.029056743611949064
-490.36130187857566,-5.0,0.15085536591301194
-490.34971887039404,-1.4364853663522732,0.14970539254845627
-490.3298083662467,125.56537563736035,0.022199526652902785
-490.28474579194244,135.4743000663581,0.01606422632387016
-490.2488052299808,-11.939170786842794,0.08673799094049577
-490.15140307000945,145.41445771061598,0.01071152716698169
-490.0922272504167,175.96334492010527,-0.0003406274642755985
-490.03456360022665,155.45098306121946,0.006161504733441315
-490.01837401269444,-8.167943981373414,0.11157149701216111
-490.00217491305557,200.0,-0.003092867599143776
-489.96039596793133,-205.0,0.0
-489.9101727919519,165.61060098933933,0.002454733149512848
-489.86600964444955,-3.919273424703931,0.1504962596403303
-489.8446524471312,-5.716070178860047,0.1391139287657417
-489.5930881565688,-6.792234128444518,0.12518065600923187
-489.36093051661027,0.0,0.1492603988900517
-489.350276977953,-5.0,0.1508817315500167
-489.34692818528674,-14.843878959218012,0.07389477276649487
-489.32720134173877,8.002173770077551,0.13964439882336416
-489.28131843826475,-9.720989162960986,0.09982118858971407
-489.18796998595604,-2.7203490853663466,0.15011072515423998
-488.88991557788313,-5.878378754217501,0.1366629698440548
-488.72735830715544,15.491469748027955,0.1306890708650867
-488.6991632393618,-3.903006078979054,0.15048515407342597
-488.5876102295586,-7.032174871715222,0.1224834136540649
-488.4597243854485,2.2971418298325235,0.14649192627836302
-488.38545363622904,-18.216456709598365,0.06257672020165428
-488.26366171955243,-5.0,0.15082543494068976
-488.2608143388929,-11.118685067806172,0.0912884728332165
-488.24059198635365,-8.343423346160007,0.11020759130018855
-488.19089147458857,-1.4689469494143148,0.1497148419660384
-487.8473001336501,-5.94479458910123,0.13570278597715962
